year_month,person,screen_time_seconds
2015-06,anderson cooper,38147
2015-07,anderson cooper,36531
2015-08,anderson cooper,31714
2015-09,anderson cooper,31153
2015-10,anderson cooper,41822
2015-11,anderson cooper,36487
2015-12,anderson cooper,21626
2016-01,anderson cooper,31289
2016-02,anderson cooper,32516
2016-03,anderson cooper,32062
2016-04,anderson cooper,25812
2016-05,anderson cooper,19994
2016-06,anderson cooper,39678
2016-07,anderson cooper,24770
2016-08,anderson cooper,36760
2016-09,anderson cooper,52899
2016-10,anderson cooper,49911
2016-11,anderson cooper,46031
2016-12,anderson cooper,39211
2017-01,anderson cooper,66540
2017-02,anderson cooper,56806
2017-03,anderson cooper,82762
2017-04,anderson cooper,75113
2017-05,anderson cooper,83168
2017-06,anderson cooper,97969
2017-07,anderson cooper,81137
2017-08,anderson cooper,78228
2017-09,anderson cooper,81385
2017-10,anderson cooper,83819
2017-11,anderson cooper,66088
2017-12,anderson cooper,58479
2018-01,anderson cooper,89118
2018-02,anderson cooper,107446
2018-03,anderson cooper,101352
2018-04,anderson cooper,109042
2018-05,anderson cooper,84156
2018-06,anderson cooper,73980
2018-07,anderson cooper,83484
2018-08,anderson cooper,63804
2018-09,anderson cooper,67593
2018-10,anderson cooper,97943
2018-11,anderson cooper,47031
2018-12,anderson cooper,40830
2019-01,anderson cooper,93777
2019-02,anderson cooper,72699
2019-03,anderson cooper,114299
2019-04,anderson cooper,91462
2019-05,anderson cooper,74418
2019-06,anderson cooper,40012
2019-07,anderson cooper,69692
2019-08,anderson cooper,78929
2019-09,anderson cooper,69550
2019-10,anderson cooper,81589
2019-11,anderson cooper,48672
2019-12,anderson cooper,47457
2020-01,anderson cooper,86750
2020-02,anderson cooper,46834
2020-03,anderson cooper,96907
2020-04,anderson cooper,189771
2020-05,anderson cooper,116042
2020-06,anderson cooper,74360
2020-07,anderson cooper,64130
2010-01,andrea mitchell,12911
2010-02,andrea mitchell,12198
2010-03,andrea mitchell,11344
2010-04,andrea mitchell,13953
2010-05,andrea mitchell,4817
2010-06,andrea mitchell,6860
2010-07,andrea mitchell,10278
2010-08,andrea mitchell,12672
2010-09,andrea mitchell,7858
2010-10,andrea mitchell,13570
2010-11,andrea mitchell,10595
2010-12,andrea mitchell,9941
2011-01,andrea mitchell,12297
2011-02,andrea mitchell,12340
2011-03,andrea mitchell,15329
2011-04,andrea mitchell,11313
2011-05,andrea mitchell,12837
2011-06,andrea mitchell,11962
2011-07,andrea mitchell,14028
2011-08,andrea mitchell,17420
2011-09,andrea mitchell,9597
2011-10,andrea mitchell,13177
2011-11,andrea mitchell,10294
2011-12,andrea mitchell,9646
2012-01,andrea mitchell,16069
2012-02,andrea mitchell,12944
2012-03,andrea mitchell,15133
2012-04,andrea mitchell,13833
2012-05,andrea mitchell,14654
2012-06,andrea mitchell,13582
2012-07,andrea mitchell,9629
2012-08,andrea mitchell,11601
2012-09,andrea mitchell,15459
2012-10,andrea mitchell,14265
2012-11,andrea mitchell,18387
2012-12,andrea mitchell,12525
2013-01,andrea mitchell,17917
2013-02,andrea mitchell,13293
2013-03,andrea mitchell,8518
2013-04,andrea mitchell,12468
2013-05,andrea mitchell,9143
2013-06,andrea mitchell,13797
2013-07,andrea mitchell,8994
2013-08,andrea mitchell,11127
2013-09,andrea mitchell,13323
2013-10,andrea mitchell,12267
2013-11,andrea mitchell,6861
2013-12,andrea mitchell,9042
2014-01,andrea mitchell,11240
2014-02,andrea mitchell,8497
2014-03,andrea mitchell,11919
2014-04,andrea mitchell,11193
2014-05,andrea mitchell,9265
2014-06,andrea mitchell,9258
2014-07,andrea mitchell,15714
2014-08,andrea mitchell,14326
2014-09,andrea mitchell,15902
